episode_id,description
E10,"Subscribe to my newsletter here: https://tinyletter.com/sanyambhutani/
Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

Course website: mlcourse.ai

Call to action (Request): Please help us spread the word about the course. Twitter thread: https://twitter.com/bhutanisanyam1/status/1163429648698494976?s=20, Linkedin Post: https://www.linkedin.com/feed/update/urn:li:activity:6569181565664972801/

In this episode Sanyam Bhutani interviews Dr. Yury Kashnitsky about mlcourse.ai

mlcourse.ai dubbed ""Learn Machine Learning the hardway"", is an open Machine Learning course by OpenDataScience. The course is designed to perfectly balance theory and practice. In this episode they talk about the course setup and structure. The efforts that went into creating the course. Yury is also kind enough to share many great advices to both future students and mlcourse alumni. 

Follow:
Dr. Yury Kashnitsky
https://twitter.com/ykashnitsky
https://yorko.github.io

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1
sanyambhutani.com

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E11,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

Previous Blog Interview: https://medium.com/dsnet/interview-with-openai-fellow-christine-mcleavey-payne-aaef948ad571

In this episode, Sanyam Bhutani interviews Christine Payne for the second time. They talk about MuseNet, OpenAI and Deep Learning Research, MOOC(s) for Machine Learning, Deep Learning. 

MuseNet: https://openai.com/blog/musenet/

Follow:
Christine Payne:
https://twitter.com/mcleavey
https://www.linkedin.com/in/mcleavey/
http://christinemcleavey.com/

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E12,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Previous Blog Interview: https://medium.com/dsnet/interview-with-deep-learning-freelancer-tuatini-godard-e661a3995fb1

In this Episode, Sanyam Bhutani interviews Tuatini Godard about his Machine Learning Freelance work. They talk all about Freelance work: downsides, upsides of it and the tricks of the trade.

Follow:
Tuatini Godard:
https://tuatini.me

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E13,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience

In this episode Sanyam Bhutani interviews Robbert Bracco about his journey, the ""unofficial fastai audio port"" and they set the theme for the future episodes around ""Self-Teaching"", ""Things Jeremy Says to do/fastai recap"" 

Unofficial fast.ai audio framework: https://github.com/mogwai/fastai_audio/
Deep Learning Audio Thread: https://forums.fast.ai/t/deep-learning-with-audio-thread/38123
Things Jeremy Says to do Thread: https://forums.fast.ai/t/things-jeremy-says-to-do/36682/24

Follow:
Robbert Bracco
https://twitter.com/MadeUpMasters

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E14,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

In this Episode, Sanyam Bhutani interviews Pierre Stock, resident PhD student at FAIR Lab, Paris. In this interview, they talk a lot about his research, Deep Learning Research in general and FAIR. They also discuss Pierre's recent research: And the Bit Goes Down: Revisiting the Quantization
of Neural Networks (Link: https://arxiv.org/pdf/1907.05686.pdf)

Repository: https://github.com/facebookresearch/kill-the-bits

Follow:
Pierre Stock:
https://twitter.com/PierreStock
https://research.fb.com/people/stock-pierre/

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E15,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

In this episode, Sanyam Bhutani interviews Dr. Judy Gichoya. They talk about Judy's journey into both Open Source, Machine Learning world. Judy is kind enough to share great advice for people in both domains: People from the Medical domain and people from the ""ML"" domain looking to get started in the opposite domain. They also talk about Judy's current (and upcoming) research: https://www.nsf.gov/awardsearch/showAward?AWD_ID=1928481&HistoricalAwards=false

Links: 
LibreHealth: https://librehealth.io/
OpenMRS: https://openmrs.org/
Bad Blood book: https://en.wikipedia.org/wiki/Bad_Blood:_Secrets_and_Lies_in_a_Silicon_Valley_Startup

Follow:
Dr. Judy Gichoya
https://twitter.com/judywawira
https://www.linkedin.com/in/judy-gichoya-08195012/
https://medium.com/@judywawira

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E16,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

In this episode, Sanyam Bhutani interviews Andrew Shaw. In this interview, they talk all about Andrew's journey into the field, his fast.ai journey, and his recent project: musicautobot. MusicAutobot is an ""AI Pop Music Generator"". They also briefly talk about the fast.ai DAWNBench results.



Links: 
https://musicautobot.com/

fast.ai DAWNBench: https://www.fast.ai/2018/08/10/fastai-diu-imagenet/
https://www.fast.ai/2018/04/30/dawnbench-fastai/
Blogposts:
Part 1: https://towardsdatascience.com/creating-a-pop-music-generator-with-the-transformer-5867511b382a
Part 2: https://towardsdatascience.com/practical-tips-for-training-a-music-model-755c62560ec2
Part 3: https://towardsdatascience.com/a-multitask-music-model-with-bert-transformer-xl-and-seq2seq-3d80bd2ea08e
Part 4: https://towardsdatascience.com/how-to-remix-the-chainsmokers-with-a-music-bot-6b920359248c

Follow:
Andrew Shaw:
https://twitter.com/bearpelican

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd
"
E17,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

In this episode, Sanyam Bhutani interviews the CTO of Hugging Face, Julien Chaumond. In this interview, they talk all about his journey into the field and his path as a CTO of Hugging Face. They discuss all the amazing work being done at Hugging Face, research and open source as well as about their team.

Links: 
https://transformer.huggingface.co/

Transformers Repo: https://github.com/huggingface/transformers

https://medium.com/huggingface/distilbert-8cf3380435b5

Follow:
Julien Chaumond:
https://twitter.com/julien_c

Hugging Face:
https://twitter.com/huggingface
https://huggingface.co/
https://medium.com/huggingface

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E18,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

Giveaway details: 
Linkedin: https://www.linkedin.com/posts/sanyambhutani_generative-deep-learning-technical-writing-activity-6589683729122283520-E2OZ

Twitter: https://twitter.com/bhutanisanyam1/status/1183920078288351232

In this episode, Sanyam Bhutani interviews David Foster, Co Founder of Applied Data Science, Author of Generative Deep Learning 

In this interview, they talk all about his journey into the field and his path as a Data Scientist and his experience with Technical writing. They also talk all about the Generative Deep Learning Book, the efforts and the process of writing it.

Links: 
Book: https://www.oreilly.com/library/view/generative-deep-learning/9781492041931/

Applied Data Science: https://adsp.ai/

David's blogposts: https://medium.com/@dtfoster

Follow:
David Foster:
https://www.linkedin.com/in/davidtfoster/

Applied Data Science: 
adsp.ai
https://twitter.com/applied_data
https://www.linkedin.com/company/applied-data-science/?originalSubdomain=in


Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E19,"Audio (Podcast Version) available here: https://anchor.fm/chaitimedatascience
Subscribe here to the newsletter: https://tinyletter.com/sanyambhutani

In this episode, Sanyam Bhutani interviews Chip Huyen, Senior Deep Learning Engineer at NVIDIA. In this interview, they talk all about her journey into the field and her work at NVIDIA. 
They also discuss Chip's amazing upcoming book about ML interviews and ML interviews in general, Deep learning research and MOOCS.

Links: 
https://huyenchip.com/

Twitter thread about the book: https://twitter.com/chipro/status/1152077188985835521
Blogpost about the book: https://huyenchip.com/2019/07/21/machine-learning-interviews.html
Glassdoor review Blogpost: https://huyenchip.com/2019/08/21/glassdoor-interview-reviews-tech-hiring-cultures.html

Follow:
Chip Huyen:
https://twitter.com/chipro?lang=en
Website: https://huyenchip.com/

Sanyam Bhutani:
https://twitter.com/bhutanisanyam1
Blog: https://medium.com/@init_27

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd
"
E20,"Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

In this Episode, Sanyam Bhutani interviews Dr. Boris Dorado. They talk about Boris's first Kaggle Competition experience and his takeaways from teaming up with 4 Kaggle Grandmasters in the ""Predicting Molecular Property Kaggle Competition"" and their team's solution. 

AMA Thread: https://www.kaggle.com/c/champs-scalar-coupling/discussion/109670

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Follow:
Dr. Boris Dorado:
https://www.linkedin.com/in/boris-dorado/
https://borisdorado.com/

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E21,"Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

In this Episode, Sanyam Bhutani interviews Bart Chrzaszcz, an undergraduate at the University of Waterloo. They talk about Bart's Google Software Engineering Internship where he contributed to Swift For Tensorflow, OpenSpiel.

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Follow:
Bart:
https://twitter.com/bart_chr

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E22,"Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

Personal Note: I'm really honored to share this conversation. I really hope you enjoy listening to it as much as I enjoyed talking to Dr. Marc Lanctot.

In this Episode, Sanyam Bhutani interviews Dr. Marc Lactot, a Research Scientist at DeepMind. In this interview, they talk all about Research at DeepMind, Deep Learning Research, AlphaGo. They also talk all about Swift For Tensorflow and OpenSpiel.

Dr. Marc Lanctot is a research scientist at Google DeepMind. Previously, he was a post-doctoral researcher at the Maastricht University Games and AI Group, working with Mark Winands. During his PhD, Marc worked on sampling algorithms for equilibrium computation and decision-making in games. His research interests include in general multiagent learning (and planning), computational game theory, reinforcement learning, and game-tree search.
Open Spiel: https://deepmind.com/research/open-source/openspiel

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Links from the podcast: 
- Commodore 64: https://en.wikipedia.org/wiki/Commodore_64
- Intellivision (early console!): https://en.wikipedia.org/wiki/Intellivision
- AD&D Treasure of Tarmin (Intellivision game with 3D perspective-- pretty advanced for its time!): https://en.wikipedia.org/wiki/Advanced_Dungeons_%26_Dragons:_Treasure_of_Tarmin
- Montezuma's revenge: https://en.wikipedia.org/wiki/Montezuma%27s_Revenge_(video_game)


Follow:
Dr. Marc Lanctot
https://twitter.com/sharky6000
http://mlanctot.info/
https://www.linkedin.com/in/marc-lanctot-a1619095/?originalSubdomain=ca

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd
"
E23,"Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

In this Episode, Sanyam Bhutani interviews Andres Torrubia, CEO of Fixr.com and Kaggle Competition Master. They talk all about his journey into the field, along with the predicting molecular property challenge along with Andres' Bruce Wayne during the day and Batman of Kaggle during the night lifestyle. 

Predicting Molecular Prop Comp: https://www.kaggle.com/c/champs-scalar-coupling
Solution Overview + Source Code by Andres: https://www.kaggle.com/c/champs-scalar-coupling/discussion/108845#latest-662721

Interview with Machine Learning Hero Series: https://medium.com/dsnet/interviews-with-machine-learning-heroes-ad9358385278 

Follow:
Andres Torrubia:
https://twitter.com/antor

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd
"
E24,"Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

In this Episode, Sanyam Bhutani interviews Dr. Philipp Singer, Sr. Data Scientist at UNIQA Insurance Group and Kaggle 2x Master, Currently in Top 30 of competitions tier and Top 10 in the Discussions Tier. 

They talk all about his journey into the field, along with his approach to Kaggling where he medals in every single competition that he participates in!

They also discuss  ""The Zoo"" (Team)'s recent 6th position Gold Medal finish on the IEEE-CIS Fraud Detection Kaggle Competition. 

Comp Link: https://www.kaggle.com/c/ieee-fraud-detection
Solution Overview: https://www.kaggle.com/c/ieee-fraud-detection/discussion/111247

Interview with Machine Learning Hero Series: https://hackernoon.com/interview-with-machine-learning-heroes-0ifi3yyg

Follow:
Philipp Singer
https://twitter.com/ph_singer
https://www.philippsinger.info/

Sanyam Bhutani: https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every Sunday, Thursday available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
E25,"CPMP

Audio Version available here: https://anchor.fm/chaitimedatascience
Newsletter: https://tinyletter.com/sanyambhutani

https://hackernoon.com/interview-with-twice-kaggle-grandmaster-dr-jean-francois-puget-cpmp-6d92328e433a

In this Episode, Sanyam Bhutani interviews x2 Kaggle GrandMaster, King of Kaggle Discussions: Dr. Jean Francois Puget, Ranked #1 in Discussions Tier.

In this interview they talk all about IEEE-CIS Fraud Detection Kaggle Competition, CPMP's approach to Kaggle in general and also very specifically to this competition. 

They also dig deeper into a few topics that pick up right after the previous interview.

Comp Link: https://www.kaggle.com/c/ieee-fraud-detection
Solution Overview: https://www.kaggle.com/c/ieee-fraud-detection/discussion/111321#latest-648250


Interview with Machine Learning Hero Series: https://hackernoon.com/interview-with-machine-learning-heroes-0ifi3yyg

Follow:
Dr. Jean Francois Puget
https://twitter.com/jfpuget
https://www.linkedin.com/in/jfpuget/
https://www.kaggle.com/cpmpml

Sanyam Bhutani: 
https://twitter.com/bhutanisanyam1

About:
http://chaitimedatascience.com/
A show for Interviews with Practitioners, Kagglers & Researchers and all things Data Science hosted by Sanyam Bhutani. 

You can expect weekly episodes every available as Video, Podcast, and blogposts.

If you'd like to support the podcast: https://www.patreon.com/chaitimedatascience
Intro track: 
Flow by LiQWYD https://soundcloud.com/liqwyd"
